Diameter: 21
Node 0: Maximum Distance - 11, Nodes at Max Distance: 599 1118 1226 1873
Node 1: Maximum Distance - 11, Nodes at Max Distance: 1453 1480 1638
Node 2: Maximum Distance - 11, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 3: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 4: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 5: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638
Node 6: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 7: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 8: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 9: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 10: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 11: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 12: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 13: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 14: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 15: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 16: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 17: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 18: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 19: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 20: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 21: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 22: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 23: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 24: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 25: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 26: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 27: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 28: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 29: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 30: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 31: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 32: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 33: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 34: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 35: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 36: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 37: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 38: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 39: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 40: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 41: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 42: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 43: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 44: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 45: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 46: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 47: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 48: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 49: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 50: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 51: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 52: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 53: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 54: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 55: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 56: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 57: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 58: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 59: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 60: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 61: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 62: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 63: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 64: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 65: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 66: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 67: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 68: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 69: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 70: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 71: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 72: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 73: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 74: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 75: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 76: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 77: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 78: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 79: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 80: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 81: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 82: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 83: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 84: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 85: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 86: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 87: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 88: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 89: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 90: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 91: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 92: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 93: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 94: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 95: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 96: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 97: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 98: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 99: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 100: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 101: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 102: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 103: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 104: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 105: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 106: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 107: Maximum Distance - 18, Nodes at Max Distance: 599 1118 1226 1873
Node 108: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 109: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 110: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 111: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 112: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 113: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 114: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 115: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 116: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 117: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 118: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 119: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 120: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 121: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 122: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 123: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 124: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 125: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 126: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 127: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 128: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 129: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 130: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 131: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 132: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 133: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 134: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 135: Maximum Distance - 17, Nodes at Max Distance: 1453 1480 1638
Node 136: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 137: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 138: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 139: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638
Node 140: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 141: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 142: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 143: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 144: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 145: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 146: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 147: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 148: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 149: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 150: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 151: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 152: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 153: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 154: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 155: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 156: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 157: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 158: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638
Node 159: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 160: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 161: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 162: Maximum Distance - 18, Nodes at Max Distance: 599 1118 1226 1873
Node 163: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 164: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 165: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 166: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 167: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 168: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 169: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 170: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 171: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 172: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 173: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 174: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 175: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 176: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 177: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 178: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 179: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 180: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 181: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 182: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 183: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 184: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 185: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 186: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638
Node 187: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 188: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 189: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 190: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 191: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 192: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 193: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 194: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 195: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638
Node 196: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 197: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 198: Maximum Distance - 13, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 199: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 200: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 201: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 202: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 203: Maximum Distance - 12, Nodes at Max Distance: 599 1118 1226 1873
Node 204: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 205: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 206: Maximum Distance - 16, Nodes at Max Distance: 599 1118 1226 1873
Node 207: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 208: Maximum Distance - 14, Nodes at Max Distance: 1453 1480 1638 599 1118 1226 1873
Node 209: Maximum Distance - 17, Nodes at Max Distance: 1453 1480 1638
Node 210: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
Node 211: Maximum Distance - 17, Nodes at Max Distance: 1453 1480 1638
Node 212: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 213: Maximum Distance - 15, Nodes at Max Distance: 1453 1480 1638
Node 214: Maximum Distance - 12, Nodes at Max Distance: 1453 1480 1638
Node 215: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 216: Maximum Distance - 16, Nodes at Max Distance: 1453 1480 1638
Node 217: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 218: Maximum Distance - 17, Nodes at Max Distance: 599 1118 1226 1873
Node 219: Maximum Distance - 13, Nodes at Max Distance: 599 1118 1226 1873
Node 220: Maximum Distance - 15, Nodes at Max Distance: 599 1118 1226 1873
Node 221: Maximum Distance - 14, Nodes at Max Distance: 599 1118 1226 1873
